experiment,variant,n,median_ns,p99_ns,min_ns,mean_ns,iters,inner_reps,below_timer_resolution,ops,bytes_touched,notes
factorized,naive_pairs,200,14400.0,15800.000000000002,14400.0,14700.0,8,1,False,40000,640000,materializes every matching pair
factorized,hashjoin_then_pairs,200,15400.000000000002,16000.0,14300.0,14975.0,8,1,False,40000,640000,join matching does not remove the product expansion
factorized,factorized_sums,200,112.5,125.0,106.25,113.02083333333333,12,16,True,400,3200,sum(A)*sum(B) per group; pairs never exist
factorized,incremental_insert_a,200,1.171875,1.26953125,1.07421875,1.162109375,20,1024,True,1,32,insert x into A is O(1) per group: sum_a += x
factorized,naive_pairs,800,230000.0,234400.0,228100.0,229637.5,8,1,False,640000,10240000,materializes every matching pair
factorized,hashjoin_then_pairs,800,228100.0,232300.0,209900.0,225212.5,8,1,False,640000,10240000,join matching does not remove the product expansion
factorized,factorized_sums,800,375.0,425.0,375.0,385.4166666666667,12,4,True,1600,12800,sum(A)*sum(B) per group; pairs never exist
factorized,incremental_insert_a,800,0.9765625,1.07421875,0.87890625,0.9423828125,20,1024,True,1,32,insert x into A is O(1) per group: sum_a += x
factorized,naive_pairs,2000,1712800.0,2106200.0,1497800.0,1711687.5,8,1,False,4000000,64000000,materializes every matching pair
factorized,hashjoin_then_pairs,2000,1886800.0,2115300.0,1804600.0,1895925.0,8,1,False,4000000,64000000,join matching does not remove the product expansion
factorized,factorized_sums,2000,1300.0,2700.0,1300.0,1416.6666666666667,12,1,False,4000,32000,sum(A)*sum(B) per group; pairs never exist
factorized,incremental_insert_a,2000,1.3671875,1.7578125,1.171875,1.38671875,20,1024,True,1,32,insert x into A is O(1) per group: sum_a += x
factorized,naive_pairs,5000,9871600.0,10240500.0,9445500.0,9833075.0,8,1,False,25000000,400000000,materializes every matching pair
factorized,hashjoin_then_pairs,5000,9993900.0,11121900.0,9686700.0,10094500.0,8,1,False,25000000,400000000,join matching does not remove the product expansion
factorized,factorized_sums,5000,2800.0,2900.0,2800.0,2816.6666666666665,12,1,False,10000,80000,sum(A)*sum(B) per group; pairs never exist
factorized,incremental_insert_a,5000,1.171875,1.3671875,1.07421875,1.142578125,20,1024,True,1,32,insert x into A is O(1) per group: sum_a += x
factorized,naive_pairs,8000,25305600.0,28044000.0,23546600.0,25058237.5,8,1,False,64000000,1024000000,materializes every matching pair
factorized,hashjoin_then_pairs,8000,25924800.0,29738400.0,25379300.0,26610425.0,8,1,False,64000000,1024000000,join matching does not remove the product expansion
factorized,factorized_sums,8000,4500.0,4600.0,4500.0,4508.333333333333,12,1,False,16000,128000,sum(A)*sum(B) per group; pairs never exist
factorized,incremental_insert_a,8000,1.171875,1.66015625,1.07421875,1.201171875,20,1024,True,1,32,insert x into A is O(1) per group: sum_a += x
factorized,naive_pairs,16000,12792000.0,15292800.0,10855700.0,12853425.0,8,1,False,32000000,512000000,materializes every matching pair
factorized,hashjoin_then_pairs,16000,12622300.0,13856100.0,12033400.0,12685512.5,8,1,False,32000000,512000000,join matching does not remove the product expansion
factorized,factorized_sums,16000,9200.0,9500.0,9200.0,9250.0,12,1,False,32000,256000,sum(A)*sum(B) per group; pairs never exist
factorized,incremental_insert_a,16000,6.640625,7.03125,6.640625,6.77734375,20,256,True,8,256,insert x into A is O(1) per group: sum_a += x
factorized,factorized_sums,50000,27600.0,114300.0,26900.0,34791.666666666664,12,1,False,100000,800000,sum(A)*sum(B) per group; pairs never exist
factorized,incremental_insert_a,50000,1.07421875,1.171875,1.07421875,1.103515625,20,1024,True,1,32,insert x into A is O(1) per group: sum_a += x
factorized,factorized_sums,500000,277700.0,1993500.0,230800.0,614741.6666666666,12,1,False,1000000,8000000,sum(A)*sum(B) per group; pairs never exist
factorized,incremental_insert_a,500000,0.9765625,1.171875,0.87890625,0.947265625,20,1024,True,1,32,insert x into A is O(1) per group: sum_a += x
factorized,factorized_sums,5000000,4965300.0,8877900.0,4077800.0000000005,5783500.0,12,1,False,10000000,80000000,sum(A)*sum(B) per group; pairs never exist
factorized,incremental_insert_a,5000000,0.9765625,1.07421875,0.87890625,0.9375,20,1024,True,1,32,insert x into A is O(1) per group: sum_a += x
factorized,inseparable_negative_control,1500,2659800.0,2790300.0,2485000.0,2645483.3333333335,6,1,False,2250000,54000000,XOR coupling prevents factorization; expansion is required
executable_regions,materialized_bulk_add,10000,3600.0,3800.0,3500.0,3640.0,5,1,False,10000,80000,N scalar writes per bulk operation
executable_regions,compact_bulk_add,10000,0.537109375,31.396484375000004,0.5126953125,1.56005859375,30,4096,True,1,8,one adjustment increment; N writes never happen
executable_regions,compact_point_lookup_4k,10000,4600.0,4600.0,4600.0,4600.0,12,1,False,4000,96000,evaluate base+adj-birth+exc per lookup
executable_regions,materialized_point_lookup_4k,10000,2100.0,2200.0,2100.0,2116.6666666666665,12,1,False,4000,32000,direct load of current scalar
executable_regions,compact_filter_scan,10000,5200.0,5300.0,5100.0,5212.5,8,1,False,10000,80000,bulk adj is free; filter still touches every base unless an index exists
executable_regions,materialized_bulk_add,200000,109800.0,295600.0,68400.0,146680.0,5,1,False,200000,1600000,N scalar writes per bulk operation
executable_regions,compact_bulk_add,200000,0.537109375,0.5615234375,0.5126953125,0.5338541666666666,30,4096,True,1,8,one adjustment increment; N writes never happen
executable_regions,compact_point_lookup_4k,200000,6400.0,50900.0,5700.0,19550.0,12,1,False,4000,96000,evaluate base+adj-birth+exc per lookup
executable_regions,materialized_point_lookup_4k,200000,3500.0,4300.0,3100.0,3558.3333333333335,12,1,False,4000,32000,direct load of current scalar
executable_regions,compact_filter_scan,200000,103800.0,104500.0,101900.0,103687.5,8,1,False,200000,1600000,bulk adj is free; filter still touches every base unless an index exists
executable_regions,materialized_bulk_add,2000000,1956500.0,6612400.0,1675200.0,2925000.0,5,1,False,2000000,16000000,N scalar writes per bulk operation
executable_regions,compact_bulk_add,2000000,0.537109375,0.537109375,0.5126953125,0.5338541666666666,30,4096,True,1,8,one adjustment increment; N writes never happen
executable_regions,compact_point_lookup_4k,2000000,10800.0,11400.0,10700.0,10883.333333333334,12,1,False,4000,96000,evaluate base+adj-birth+exc per lookup
executable_regions,materialized_point_lookup_4k,2000000,6000.0,6200.0,6000.0,6050.0,12,1,False,4000,32000,direct load of current scalar
executable_regions,compact_filter_scan,2000000,2037199.9999999998,3914100.0,1442400.0,2142950.0,8,1,False,2000000,16000000,bulk adj is free; filter still touches every base unless an index exists
executable_regions,materialized_bulk_add,20000000,31189700.0,32804300.0,23388800.0,28746680.0,5,1,False,20000000,160000000,N scalar writes per bulk operation
executable_regions,compact_bulk_add,20000000,0.537109375,0.537109375,0.5126953125,0.5314127604166666,30,4096,True,1,8,one adjustment increment; N writes never happen
executable_regions,compact_point_lookup_4k,20000000,17300.0,17400.0,17200.0,17333.333333333332,12,1,False,4000,96000,evaluate base+adj-birth+exc per lookup
executable_regions,materialized_point_lookup_4k,20000000,14300.0,14300.0,14200.0,14275.0,12,1,False,4000,32000,direct load of current scalar
executable_regions,compact_filter_scan,20000000,20508600.0,23592900.0,19110700.0,21012975.0,8,1,False,20000000,160000000,bulk adj is free; filter still touches every base unless an index exists
executable_regions,exception_density_sum,500000,0.341796875,0.3662109375,0.2685546875,0.3173828125,10,4096,True,1,32,compact form wins while exceptions stay sparse
executable_regions,exception_density_sum,500000,0.29296875,0.3662109375,0.2685546875,0.302734375,10,4096,True,1,120032,compact form wins while exceptions stay sparse
executable_regions,exception_density_sum,500000,0.4150390625,0.439453125,0.3173828125,0.38330078125,10,4096,True,1,1200032,compact form wins while exceptions stay sparse
executable_regions,exception_density_sum,500000,0.341796875,0.3662109375,0.29296875,0.32958984375,10,4096,True,1,12000032,compact form wins while exceptions stay sparse
progressive,full_scan_clustered,20000000,11455100.0,12303800.0,6618600.0,10131050.0,6,1,False,20000000,80000000,decode every u32
progressive,bucket_scalar_clustered,20000000,24116200.0,25234600.0,22332500.0,23664583.333333332,6,1,False,20000000,40000000,16-bit bounds first; residual on boundary bucket only
progressive,bucket_avx2_clustered,20000000,43488300.0,45814900.0,40198500.0,42746433.333333336,6,1,False,20000000,40000000,per-row 16-bit bounds; still one access per record
progressive,block_bounds_clustered,20000000,26100.0,26100.0,26000.0,26066.666666666668,6,1,False,20000000,4096,one min/max per 1024-row block; skip or accept whole blocks
progressive,full_scan_clustered,20000000,12003600.0,13210100.0,7611700.0,10357150.0,6,1,False,20000000,80000000,decode every u32
progressive,bucket_scalar_clustered,20000000,23910900.0,28101100.0,21517500.0,23804216.666666668,6,1,False,20000000,40000000,16-bit bounds first; residual on boundary bucket only
progressive,bucket_avx2_clustered,20000000,42073500.0,43490800.0,37411700.0,41271750.0,6,1,False,20000000,40000000,per-row 16-bit bounds; still one access per record
